player,squad,league,season,transfermarkt_id,reason
Victor Bernth Kristiansen,Leicester City,eng Premier League,2024/25,,no matching player
Dimitry Bertaud,Montpellier,fr Ligue 1,2024/25,,no matching player
Jan-Niklas Beste,Freiburg,de Bundesliga,2024/25,,no matching player
Samuele Birindelli,Monza,it Serie A,2024/25,,no matching player
Augustine Boakye,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Mathéo Bodmer,Le Havre,fr Ligue 1,2024/25,,no matching player
Emil Bohinen,Genoa,it Serie A,2024/25,,no matching player
Justin Bourgault,Brest,fr Ligue 1,2024/25,,no matching player
Benjamin Bourigeaud,Rennes,fr Ligue 1,2024/25,,no matching player
Edoardo Bove,Fiorentina,it Serie A,2024/25,,no matching player
Darko Brašanac,Leganés,es La Liga,2024/25,,no matching player
Matthias Braunöder,Como,it Serie A,2024/25,,no matching player
Iker Bravo,Udinese,it Serie A,2024/25,,no matching player
James Bree,Southampton,eng Premier League,2024/25,,no matching player
Tim Breithaupt,Augsburg,de Bundesliga,2024/25,,no matching player
Gleison Bremer,Juventus,it Serie A,2024/25,,no matching player
Brenner,Udinese,it Serie A,2024/25,,no matching player
Ben Brereton,Southampton,eng Premier League,2024/25,,no matching player
Maximilian Breunig,Heidenheim,de Bundesliga,2024/25,,no matching player
Anthony Briançon,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Arvid Brorsson,Monza,it Serie A,2024/25,,no matching player
Emi Buendía,Aston Villa,eng Premier League,2024/25,,no matching player
Emi Buendía,Leverkusen,de Bundesliga,2024/25,,no matching player
Endika Buján,Athletic Club,es La Liga,2024/25,,no matching player
Rareș-Cătălin Burnete,Lecce,it Serie A,2024/25,,no matching player
Wes Burns,Ipswich Town,eng Premier League,2024/25,,no matching player
Gianluca Busio,Venezia,it Serie A,2024/25,,no matching player
Marcin Bułka,Nice,fr Ligue 1,2024/25,,no matching player
Alessio Cacciamani,Torino,it Serie A,2024/25,,no matching player
Jens Cajuste,Ipswich Town,eng Premier League,2024/25,,no matching player
Luca Caldirola,Monza,it Serie A,2024/25,,no matching player
Axel Camblan,Brest,fr Ligue 1,2024/25,,no matching player
José Campaña,Las Palmas,es La Liga,2024/25,,no matching player
Thomas Campaniello,Empoli,it Serie A,2024/25,,no matching player
Peio Canales,Athletic Club,es La Liga,2024/25,,no matching player
Antonio Candela,Venezia,it Serie A,2024/25,,no matching player
Antonio Candela,Valladolid,es La Liga,2024/25,,no matching player
Sergi Canós,Valencia,es La Liga,2024/25,,no matching player
Gianluca Caprari,Monza,it Serie A,2024/25,,no matching player
Gabin Capuano,Lens,fr Ligue 1,2024/25,,no matching player
Francesco Caputo,Empoli,it Serie A,2024/25,,no matching player
Simon Cara,Montpellier,fr Ligue 1,2024/25,,no matching player
Andrea Carboni,Monza,it Serie A,2024/25,,no matching player
Marc Cardona,Las Palmas,es La Liga,2024/25,,no matching player
Tiago Cardoso,Gladbach,de Bundesliga,2024/25,,no matching player
José Carlos González,Las Palmas,es La Liga,2024/25,,no matching player
Carmona,Sevilla,es La Liga,2024/25,,no matching player
Dani Carvajal,Real Madrid,es La Liga,2024/25,,no matching player
Kaelan Casey,West Ham,eng Premier League,2024/25,,no matching player
Eiran Cashin,Brighton,eng Premier League,2024/25,,no matching player
Federico Cassa,Atalanta,it Serie A,2024/25,,no matching player
Valentín Castellanos,Lazio,it Serie A,2024/25,,no matching player
Jean-Charles Castelletto,Nantes,fr Ligue 1,2024/25,,no matching player
Gaetano Castrovilli,Monza,it Serie A,2024/25,,no matching player
Gaetano Castrovilli,Lazio,it Serie A,2024/25,,no matching player
Catena,Osasuna,es La Liga,2024/25,,no matching player
Maximiliano Caufriez,Valencia,es La Liga,2024/25,,no matching player
Enzo Caumont,Angers,fr Ligue 1,2024/25,,no matching player
Alberto Cerri,Como,it Serie A,2024/25,,no matching player
Julian Chabot,Stuttgart,de Bundesliga,2024/25,,no matching player
Conor Chaplin,Ipswich Town,eng Premier League,2024/25,,no matching player
Raúl Chasco,Valladolid,es La Liga,2024/25,,no matching player
Chema,Real Madrid,es La Liga,2024/25,,no matching player
Théo Chennahi,Montpellier,fr Ligue 1,2024/25,,no matching player
Leandro Chichizola,Parma,it Serie A,2024/25,,no matching player
Chiquinho,Wolves,eng Premier League,2024/25,,no matching player
Chiquinho,Mallorca,es La Liga,2024/25,,no matching player
Aaron Ciammaglichella,Torino,it Serie A,2024/25,,no matching player
Alphadjo Cissè,Hellas Verona,it Serie A,2024/25,,no matching player
Seydouba Cissé,Leganés,es La Liga,2024/25,,no matching player
Yoann Cissé,Auxerre,fr Ligue 1,2024/25,,no matching player
Patrick Ciurria,Monza,it Serie A,2024/25,,no matching player
Harry Clarke,Ipswich Town,eng Premier League,2024/25,,no matching player
Jack Clarke,Ipswich Town,eng Premier League,2024/25,,no matching player
Silvi Clúa,Girona,es La Liga,2024/25,,no matching player
Conor Coady,Leicester City,eng Premier League,2024/25,,no matching player
Marcus Coco,Nantes,fr Ligue 1,2024/25,,no matching player
Toby Collyer,Manchester Utd,eng Premier League,2024/25,,no matching player
Andrea Colpani,Fiorentina,it Serie A,2024/25,,no matching player
Florinel Coman,Cagliari,it Serie A,2024/25,,no matching player
Alois Confais,Le Havre,fr Ligue 1,2024/25,,no matching player
Copete,Mallorca,es La Liga,2024/25,,no matching player
Iker Córdoba,Valencia,es La Liga,2024/25,,no matching player
Pierre Cornud,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
David Costa,Lens,fr Ligue 1,2024/25,,no matching player
Aaron Cresswell,West Ham,eng Premier League,2024/25,,no matching player
Domen Črnigoj,Venezia,it Serie A,2024/25,,no matching player
Juan Cruz Armada,Osasuna,es La Liga,2024/25,,no matching player
Cucho,Betis,es La Liga,2024/25,,no matching player
Matheus Cunha,Wolves,eng Premier League,2024/25,,no matching player
Patrick Cutrone,Como,it Serie A,2024/25,,no matching player
Wylan Cyprien,Parma,it Serie A,2024/25,,no matching player
Danilo D'Ambrosio,Monza,it Serie A,2024/25,,no matching player
